,name,rating,number_of_ratings,category,subcategory,brand,price,discount,sold_by,best_seller_rank,best_seller_category,image
88,Galaxy A06 4G Dual SIM Gold 6GB RAM 128GB - Middle East Version,4.4,574 Ratings,Electronics & Mobiles,Smartphones,Samsung,5764.00,17% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70115275V/45/_/1729857231/f5355476-4235-4e0d-a7aa-7abf07ee892e.jpg?width=800
89,Galaxy Tab A7 10.4 Inch Dark Grey 3GB RAM 32GB LTE-Egypt Version,,,Electronics & Mobiles,Tablets,Samsung,5888.00,15% Off,Maleh Group,,,https://f.nooncdn.com/p/pnsku/N70206878V/45/_/1756119819/c6f11b55-e0e8-4945-a925-dfe005d044e3.jpg?width=800
90,Galaxy A56 5G Dual SIM Awesome Light Gray 8GB RAM 256GB - Middle East Version,4.5,4212 Ratings,Electronics & Mobiles,Smartphones,Samsung,22722.00,,Radio Talaat,,,https://f.nooncdn.com/p/pnsku/N70158928V/45/_/1744647792/3576d58b-2ab8-4cef-92ef-6b9acae73fd4.jpg?width=800
91,Galaxy S25 Ultra AI Dual SIM Titanium Grey 12GB RAM 256GB 5G - Middle East Version,4.5,3649 Ratings,Electronics & Mobiles,Smartphones,Samsung,56998.95,,Dr.Mobile,,,https://f.nooncdn.com/p/pnsku/N70140492V/45/_/1737383901/eda85518-55eb-4c19-8a12-eb31bcc1bdb3.jpg?width=800
92,50 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K - QA50Q7FAAUXEG ( 2025 ) QA50Q7FAAUXEG black,4.0,1 Rating,Electronics & Mobiles,Televisions,Samsung,21800.00,27% Off,SMART HOME,,,https://f.nooncdn.com/p/pnsku/N70182503V/45/_/1748774998/3efe884c-c0db-40a9-824e-591668da3985.jpg?width=800
93,65 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K QA65Q7FAAUXEG ( 2025 ) QA65Q7FAAUXEG Black,,,Electronics & Mobiles,Televisions,Samsung,32990.00,26% Off,SMART HOME,,,https://f.nooncdn.com/p/pnsku/N70182539V/45/_/1748818478/4be28f6f-1878-4804-9ac8-a486b60674e0.jpg?width=800
94,Galaxy A56 5G Dual SIM Awesome Graphite 8GB RAM 128GB - Middle East Version,4.5,4212 Ratings,Electronics & Mobiles,Smartphones,Samsung,19899.00,,noon,,,https://f.nooncdn.com/p/pnsku/N70158926V/45/_/1744647784/f50d353c-5a73-4d29-8c01-db84fdee4f20.jpg?width=800
95,Galaxy A56 5G Dual SIM Awesome Graphite 12GB RAM 256GB - International Version,4.6,5 Ratings,Electronics & Mobiles,Smartphones,Samsung,24699.00,11% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70167827V/45/_/1744361325/fe9da7cb-6451-4786-9ffb-a1b9ce063f6c.jpg?width=800
96,Galaxy A56 5G Dual SIM Awesome Olive 8GB RAM 256GB - Middle East Version,4.5,4212 Ratings,Electronics & Mobiles,Smartphones,Samsung,22680.00,,MobilePlus,,,https://f.nooncdn.com/p/pnsku/N70158929V/45/_/1744647859/48c497c9-92ff-4b9a-8865-c5e77236a960.jpg?width=800
97,Galaxy A26 5G Dual SIM Black 8GB RAM 256GB - Middle East Version,4.2,805 Ratings,Electronics & Mobiles,Smartphones,Samsung,13699.00,11% Off,noon,,,https://f.nooncdn.com/p/pnsku/N70158913V/45/_/1744647854/b803aa82-f172-4475-8755-75c66e301aa3.jpg?width=800
98,"Fit 3 Smartwatch Amoled Display, Accelerometer, Barometer, Gyro Sensor, Optical Heart Rate Sensor, Light Sensor Gray",4.6,2823 Ratings,Electronics & Mobiles,Smartwatches,Samsung,2078.80,13% Off,K&M The Future Makers,Best Seller#19,Smartwatches,https://f.nooncdn.com/p/pnsku/N70040525V/45/_/1706090708/f2630631-6588-4fe2-9a8f-632b654c950d.jpg?width=800
99,Galaxy A56 5G Dual SIM Awesome Graphite 8GB RAM 256GB - Middle East Version,4.5,4212 Ratings,Electronics & Mobiles,Smartphones,Samsung,22680.00,12% Off,MobilePlus,Best Seller #31,Smartphones,https://f.nooncdn.com/p/pnsku/N70158930V/45/_/1744647794/4e8b7c90-4adb-454f-a01d-7682eec2bdda.jpg?width=800
